Id,BIRTHDATE,DEATHDATE,SSN,DRIVERS,PASSPORT,PREFIX,FIRST,MIDDLE,LAST,SUFFIX,MAIDEN,MARITAL,RACE,ETHNICITY,GENDER,BIRTHPLACE,ADDRESS,CITY,STATE,COUNTY,FIPS,ZIP,LAT,LON,HEALTHCARE_EXPENSES,HEALTHCARE_COVERAGE,INCOME
edc9d324-1955-bf19-ce52-9ae9fe334cd1,1982-09-06,,999-43-5951,S99916838,X11750431X,Mr.,Hector463,Rich940,Bashirian201,,,M,white,nonhispanic,M,New Bedford  Massachusetts  US,533 Koepp Route Suite 41,Saugus,Massachusetts,Essex County,25009,01906,42.47724199227036,-70.96967314677627,7403.81,119232.62,4149
9b10cd86-f77c-1afd-958f-8236ec49d73c,1994-03-10,,999-66-1378,S99910273,X86200885X,Mrs.,Danille883,Ilda728,Hammes673,,Leannon79,M,white,nonhispanic,F,Sterling  Massachusetts  US,489 Braun Vale,Framingham,Massachusetts,Middlesex County,25017,01701,42.34402847209379,-71.43061405279798,93570.72,212982.02,74297
ab0cf39c-43a4-4eb4-1375-984c6a0fade2,2011-09-12,,999-49-2854,,,,Margy712,Jonelle857,Hammes673,,,,white,nonhispanic,F,South Yarmouth  Massachusetts  US,584 Ziemann Ramp Suite 27,Burlington,Massachusetts,Middlesex County,25017,01730,42.514991549883995,-71.3307865929858,46912.84,6086.47,392648
d611fb6a-701b-7ffb-68de-20cfea0a223f,1998-03-11,,999-23-4981,S99941490,X59038803X,Ms.,Jenise920,April374,Treutel973,,,,white,nonhispanic,F,Wilbraham  Massachusetts  US,509 Reinger Bay Apt 65,Fitchburg,Massachusetts,Worcester County,25027,01420,42.61212989174765,-71.80469565594318,58163.19,64688.41,96185
95fc45d3-694a-e855-f5c5-b27f62006b65,2015-07-25,,999-84-2239,,,,Cyrus914,Raymond398,Hoeger474,,,,black,nonhispanic,M,Duxbury  Massachusetts  US,808 Conn Green,Ludlow,Massachusetts,Hampden County,,00000,42.233104476016244,-72.43299757690978,19771.50,1322.56,127984
ecce4a02-a447-2126-cc46-e7790a508389,2002-12-26,,999-47-9798,S99952555,X86059247X,Mr.,Brock407,Osvaldo336,Denesik803,,,,white,nonhispanic,M,Springfield  Massachusetts  US,851 Ritchie Park Unit 22,Amherst,Massachusetts,Hampshire County,,00000,42.3747728333074,-72.48266904426231,72542.73,7622.13,134777
2b72f634-7126-9a8c-0abf-1314e9fc1d8f,1994-03-12,,999-88-7894,S99947811,X17823713X,Ms.,Verla696,Raguel228,Rolfson709,,,S,white,nonhispanic,F,Winchester  Massachusetts  US,234 McLaughlin Run,Boston,Massachusetts,Suffolk County,25025,02203,42.370498836756475,-71.07090388529346,123862.58,264010.41,31860
7c116451-e7b2-0fbe-ac12-b5c7fc173689,1969-04-30,,999-87-1829,S99961831,X32053022X,Mrs.,Sofia418,Mercedes82,Curiel392,,Magaña874,M,white,hispanic,F,Wesley  Saint Andrew Parish  DM,1032 Hauck Common Apt 33,West Springfield,Massachusetts,Hampden County,25013,01089,42.13772418652663,-72.61181103331643,836341.39,140213.29,80065
41bc5809-ccdf-2215-dc4f-83f4520ada66,1970-09-06,,999-14-7021,S99959751,X70933378X,Mrs.,Octavia629,Terina405,Bashirian201,,Smitham825,M,white,nonhispanic,F,Medford  Massachusetts  US,417 Jast Rue,Taunton,Massachusetts,Bristol County,25005,02767,41.81553163218852,-70.99852407184272,528068.16,240283.03,46841
fde5557b-6e41-d62e-a083-1b7a61c0b0f5,1965-12-29,,999-21-5198,S99998905,X5171213X,Mr.,Joseph689,Rupert654,Gorczany269,,,M,white,hispanic,M,Arlington  Massachusetts  US,1046 Luettgen Lodge,Gloucester,Massachusetts,Essex County,25009,01930,42.609207070098506,-70.70945136163505,251744.21,10023.22,41382
